车型,官方指导价,厂商,级别,能源类型,上市时间,发动机,纯电续航里程(km),充电时间(小时),快充电量(%),最大功率(kW),发动机最大扭矩(N·m),电动机最大扭矩(N·m),变速箱,长x宽x高(mm),车身结构,最高车速(km/h),官方百公里加速时间(s),NEDC综合油耗(L/100km),WLTC综合油耗(L/100km),百公里耗电量(kWh/100km),整车保修期限,6万公里保养总成本预估,宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),车门数(个),车门开启方式,座位数(个),整备质量(kg),最大载重质量(kg),满载质量(kg),油箱容积(L),行李舱容积(L),风阻系数(Cd),排量(mL),排量(L),进气形式,气缸排列形式,气缸数(个),每缸气门数(个),压缩比,配气机构,最大马力(Ps),最大功率转速(rpm),最大扭矩(N·m),最大扭矩转速(rpm),发动机特有技术,燃料形式,燃油标号,供油方式,缸盖材料,缸体材料,环保标准,电机类型,电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),前电动机最大功率(kW),前电动机最大扭矩(N·m),后电动机最大功率(kW),后电动机最大扭矩(N·m),系统综合功率(kW),系统综合扭矩(N·m),驱动电机数,电机布局,电池组质保,电池容量(kWh),电池能量密度(Wh/kg),电池充电,电池温度管理系统,充电桩,挡位数,变速箱类型,四驱类型,中央差速器结构,前悬挂形式,后悬挂形式,转向类型,车体结构,后制动器类型,驻车制动类型
Futuron 2019款 Concept,-,起亚(进口),中型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
飞度EV(海外) 2013款 基本型,-,本田(进口),小型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Extender 2019款 基本型,-,上汽集团,中型皮卡,null,null,null,,,,null,,,null,null,两排,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
英菲尼迪QX55 2022款 2.0T 基本型,-,英菲尼迪(进口),中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Ocean 2020款 基本型,-,Fisker,紧凑型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Bronco 2021款 两门版,-,福特(进口),中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
铂驰SP系列 2019款 3.5L 星越,128.8万,星驰汽车,大型MPV,汽油,2019.11,3.5L 258马力 V6,,,,190,,,5挡自动,5910x1993x2800,MPV,161,null,13.99,,,待查,null,1993,2800,3665,null,null,null,5,侧滑门,7,3095,null,3550,100,null,,3498,3.5,自然吸气,V,6,4,10.7,DOHC,258,5900,340,5000,null,汽油,95#,多点电喷,铝,铝,国IV,,,,,,,,,,,,,,,,,,,5,自动变速箱(AT),null,null,麦弗逊式独立悬挂,整体桥式非独立悬挂,机械液压助力,承载式,通风盘式,手刹
Raize 2020款 基本型,-,丰田(进口),小型SUV,汽油,null,1.0T 98马力 L3,,,,72,,,CVT无级变速,3995x1695x1620,SUV,null,null,,,,待查,null,1695,1620,2525,null,null,null,5,平开门,5,null,null,null,null,369,null,null,1,涡轮增压,L,3,4,null,DOHC,98,null,140,null,null,汽油,null,未知,未知,未知,null,,,,,,,,,,,,,,,,,,,无级变速,无级变速箱(CVT),null,null,null,null,null,null,null,null
捷豹Vision Gran Turismo 2020款 基本型,-,捷豹,跑车,null,null,null,null,-,null,null,,,null,null,硬顶跑车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
汉DM 2022款 DM-i 121KM尊贵型,21.58万,比亚迪,中大型车,插电式混合动力,2022.04,1.5T 139马力 L4 插电式混动,121,快充0.46小时,80,102,231,316,E-CVT无级变速,4975x1910x1495,三厢车,185,7.9,4.2,5.1,15,6年或15万公里,11975.0元,1910,1495,2920,1640,1640,null,4,平开门,5,1870,null,2245,50,null,null,1497,1.5,涡轮增压,L,4,4,null,DOHC,139,null,231,null,VVT,插电式混合动力,92#,缸内直喷,铝,铝,国VI,永磁/同步,145,197,316,145,316,null,null,null,null,单电机,前置,首任车主不限年限/里程（责任免除条款以官方为准）,18.3,null,快充0.47小时|快充0.46小时|快充接口,低温加热|液态冷却,null,无级变速,电子无级变速箱(E-CVT),null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
风光E1 2020款 E动型,6.78万,东风小康,小型SUV,纯电动,2019.11,,271,"快充0.5小时
慢充4小时",80,33(44Ps),,,电动车单速变速箱,3699x1579x1515,SUV,105,null,,,10.6,3年或6万公里,null,1579,1515,2423,1380,1365,120,5,平开门,4,921,null,1240,,null,null,,,,,,,,,,,125,,,,,,,,,永磁/同步,33,44,125,33,125,null,null,null,null,单电机,前置,8年或12万公里,26.8,null,"快充0.5小时
慢充4小时|快充接口",null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,鼓式,手刹
雷克萨斯LF-30 2020款 Concept,-,雷克萨斯,中大型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
e-RACER 2020款 Concept,-,丰田(进口),跑车,null,null,null,null,-,null,null,,,null,null,软顶敞篷车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
长安CS55 PLUS 2022款 第二代 1.5T 自动豪华型,10.69万,长安汽车,紧凑型SUV,汽油,2021.09,1.5T 188马力 L4,,,,138,,,7挡双离合,4515x1865x1680,SUV,190,null,5.9,,,3年或10万公里,5065.0元,1865,1680,2656,1600,1600,null,5,平开门,5,1460,null,null,55,475-1415,null,1494,1.5,涡轮增压,L,4,4,null,DOHC,188,5500,300,1500-4000,null,汽油,92#,缸内直喷,铝,铝,国VI b,,,,,,,,,,,,,,,,,,,7,湿式双离合变速箱（DCT）,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
丰田e-Trans 2020款 Concept,-,丰田(进口),紧凑型MPV,null,null,null,null,-,null,null,,,null,null,MPV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
日产DAYZ 2019款 基本型,-,日产(进口),小型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Note EV 2020款 NISMO Black Limited,-,日产(进口),小型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
神骐T10 EV 2021款 纯电动载货汽车单排38.64kWh,12.88万,长安轻型车,微卡,纯电动,2021.07,,255,-,null,60(82Ps),,,电动车单速变速箱,5005x1600x1965,微卡,null,null,,,null,待查,null,1600,1965,null,null,null,null,2,平开门,2,null,null,null,,,,,,,,,,,,,,220,,,,,,,,,永磁/同步,60,82,220,null,null,60,220,null,null,单电机,后置,5年或20万公里,33.28,null,null,null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,整体桥式非独立悬挂,电动助力,非承载式,鼓式,null
Ariya（海外） 2020款 Concept,-,日产(进口),紧凑型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
HANARE 2020款 Concept,-,铃木(进口),微面,null,null,null,null,-,null,null,,,null,null,客车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
丰田e-4me 2020款 Concept,-,丰田(进口),微型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Combi Every 2020款 基本型,-,铃木(进口),微面,null,null,null,,,,null,,,null,null,客车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
丰田APM 2020款 基本型,-,丰田(进口),轻客,null,null,null,null,-,null,null,,,null,null,客车,null,,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
马自达MX-30新能源 2020款 基本型,-,马自达(进口),小型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
宝马i4 2022款 eDrive40,44.99万,宝马(进口),中型车,纯电动,2022.02,,625,"快充0.77小时
慢充8.25小时",80,250(340Ps),,,电动车单速变速箱,4785x1852x1455,掀背车,182,5.7,,,14.7,3年或10万公里,null,1852,1455,2856,null,null,null,5,平开门,5,2112,null,null,,470-1290,null,,,,,,,,,,,430,,,,,,,,,未知,250,340,430,null,null,250,430,null,null,单电机,后置,8年或12万公里,83.9,null,"快充0.77小时
慢充8.25小时|快充接口",低温加热|液态冷却,标配1个,1,固定齿比变速箱,null,null,双叉臂式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
现代iMax 2020款 N Drift Bus,-,现代(进口),中型MPV,null,null,null,,,,null,,,null,null,MPV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
欧宝Karl 2017款 基本型,-,欧宝,小型车,null,null,null,,,,null,,,null,null,两厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
长安欧尚X7 EV 2020款 豪华型405,15.99万,长安汽车,紧凑型SUV,纯电动,2020.08,,405,"快充0.5小时
慢充9小时",80,150(204Ps),,,电动车单速变速箱,4705x1860x1720,SUV,160,null,,,14.9,3年或12万公里,null,1860,1720,2780,1582,1582,null,5,平开门,5,1800,null,2255,,320-919,null,,,,,,,,,,,310,,,,,,,,,永磁/同步,150,204,310,150,310,null,null,null,null,单电机,前置,8年或12万公里,59.9,null,"快充0.5小时
慢充9小时|快充接口",null,标配1个,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
睿行EM60 2022款 纯电动客车平顶背掀门7座60kW,14.08万,长安轻型车,微面,纯电动,2022.03,,260,-,null,60(82Ps),,,电动车单速变速箱,4498x1680x1990,客车,100,null,,,null,未知,null,1680,1990,3000,null,null,null,4,侧滑门,7,1590,null,null,,null,,,,,,,,,,,,220,,,,,,,,,永磁/同步,60,82,220,null,null,60,220,null,null,单电机,后置,8年或12万公里,41.86,null,null,null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,整体桥式非独立悬挂,电动助力,承载式,null,手刹
捷尼赛思GV70 2020款 基本型,-,捷尼赛思,中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Ultra-compact BEV 2020款 基本型,-,丰田(进口),微型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
捷途X70M 2022款 1.5T 手动前卫伙伴型,7.89万,奇瑞汽车,中型SUV,汽油,2022.04,1.5T 156马力 L4,,,,115,,,6挡手动,4755x1885x1695,SUV,180,null,7.5,,,10年或20万公里,6899.0元,1885,1695,2745,1608,1603,null,5,平开门,5,1468,null,2006,55,null,null,1498,1.5,涡轮增压,L,4,4,9.5,DOHC,156,5500,230,1750-4000,null,汽油,92#,多点电喷,铝,铁,国VI,,,,,,,,,,,,,,,,,,,6,手动变速箱(MT),null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,机械液压助力,承载式,实心盘式,电子驻车
御风房车 2019款 C型房车 基础版,39.98万,东风汽车,房车,柴油,2019.1,3.0T 150马力 L4,,,,110,,,6挡手动,5998x2360x3050,房车,null,,,,,待查,null,2360,3050,3610,null,null,null,3,平开门,null,3600,null,null,null,null,,2953,3,涡轮增压,L,4,4,null,DOHC,150,3200,330,1600-2600,null,柴油,0#,柴油直喷,铝,铁,国V,,,,,,,,,,,,,,,,,,,6,手动变速箱(MT),null,null,麦弗逊式独立悬挂,整体桥式非独立悬挂,液压助力,承载式,鼓式,手刹
海马7X 2020款 1.5T 自动精英型 6座,12.58万,一汽海马,紧凑型MPV,汽油,2020.08,1.5T 165马力 L4,,,,121,,,6挡手自一体,4815x1874x1720,MPV,165,null,7.8,,,5年或10万公里,8158.0元,1874,1720,2860,1615,1615,170,5,平开门,6,1670,null,2120,55,null,,1497,1.5,涡轮增压,L,4,4,null,DOHC,165,5500,240,1800-4000,DVVT,汽油,92#,多点电喷,铝,铁,国VI b,,,,,,,,,,,,,,,,,,,6,手自一体变速箱(AT),null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
Daily 2019款 基本型,-,依维柯(进口),轻客,null,null,null,,,,null,,,null,null,货车,null,,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
沃尔沃XC40 RECHARGE EV(海外) 2020款 Recharge P8 AWD,-,沃尔沃(进口),紧凑型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
VGV U70 2021款 1.5T 手动优享版 5座,7.79万,中国重汽VGV,中型SUV,汽油,2021.01,1.5T 156马力 L4,,,,115,,,6挡手动,4806x1870x1691,SUV,175,null,7.7,,,7年或15万公里,null,1870,1691,2800,1580,1582,200,5,平开门,5,1541,null,2020,55,1800,null,1468,1.5,涡轮增压,L,4,4,null,DOHC,156,5600,215,2000-4000,null,汽油,92#,多点电喷,铝,未知,国VI,,,,,,,,,,,,,,,,,,,6,手动变速箱(MT),null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
WAKU SPO 2020款 Concept,-,铃木(进口),小型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
ILLUMINATE 2020款 概念版,-,北京汽车,紧凑型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
开拓者 2021款 轻混 650T 7座 型版,25.99万,上汽通用雪佛兰,中大型SUV,48V轻混系统,2021.08,2.0T 237马力 L4 48V轻混,,,,174,350,null,9挡手自一体,4999x1953x1717,SUV,210,8.4,7.1,7.47,,3年或10万公里,13754.0元,1953,1717,2863,1687,1683,null,5,平开门,7,1895,null,2490,73,222-1970,null,1998,2,涡轮增压,L,4,4,null,DOHC,237,5000,350,1500-4000,智能变缸科技,48V轻混系统,95#,缸内直喷,铝,铝,国VI b,,,,,,,,,,,,,,,,,,,9,手自一体变速箱(AT),null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
Uniti 2020款 Uniti One,-,Uniti,微型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
铂驰NV系列 2020款 2.0T 福祉车,78.8万,星驰汽车,大型MPV,汽油,2019.1,2.0T 211马力 L4,,,,155,,,7挡手自一体,5370x1928x2050,MPV,185,null,8.6,,,待查,null,1928,2050,3430,1666,1646,125,4,侧滑门,7,2610,null,3100,70,null,,1991,2,涡轮增压,L,4,4,null,DOHC,211,5500,350,1250-4000,null,汽油,95#,缸内直喷,铝,铝,国V,,,,,,,,,,,,,,,,,,,7,手自一体变速箱(AT),null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
丰田RAV4 PHEV(海外) 2021款 基本款,-,丰田(进口),紧凑型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
锐程CC 2022款 蓝鲸版 1.5T DCT精英型,9.79万,长安汽车,紧凑型车,汽油,2021.09,1.5T 188马力 L4,,,,138,,,7挡双离合,4800x1825x1465,三厢车,210,null,6,,,3年或10万公里,null,1825,1465,2770,1580,1595,null,4,平开门,5,1420,null,1835,62,520,null,1494,1.5,涡轮增压,L,4,4,null,DOHC,188,5500,300,1500-4000,null,汽油,92#,缸内直喷,铝,铝,国VI b,,,,,,,,,,,,,,,,,,,7,湿式双离合变速箱（DCT）,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
